e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,5.32,11.56,21.28,28.04,32.15,34.30,35.76,35.07,33.85,32.29,30.47,27.40,23.36,19.96,17.64,15.85,14.82,13.89,13.01,12.24,11.61,11.28,11.22,11.66,14.03,16.17,18.39,20.40,21.43,22.42,22.86,23.01,23.16,23.24,23.50,23.82,23.93,23.19,22.42,21.69,21.00,20.31,19.16,17.63,15.91,14.12,12.24,10.56,9.76,9.69,9.69,9.69,9.64,9.57,9.49,9.42,9.34,9.30,9.31,9.39,9.47,9.54,9.62,9.70,9.62,9.50,9.38,9.29,9.14,8.98,8.87,8.87,9.10,9.19,9.27,9.29,9.22,9.22,9.46,9.82,10.42,11.97,13.51,15.14,16.84,18.55,20.91,24.14,27.81,31.56,35.11,38.40,40.75,42.42,44.48,46.82,48.21,48.33,47.07,45.43,42.63,38.46,33.13,27.73,22.62,19.45,17.97,17.26,17.33,17.63,18.36,19.70,21.92,24.27,26.03,26.96,27.06,25.63,24.12,22.60,21.02,20.24,20.62,20.77,20.05,18.54,17.00,15.50,14.10,12.87
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,10.50,19.10,27.06,32.03,35.34,37.32,38.03,37.13,35.67,33.73,31.30,27.55,23.38,20.15,18.18,16.87,15.95,15.10,14.32,13.64,13.02,12.55,12.43,13.00,15.30,17.50,19.57,21.35,22.49,23.46,23.98,24.21,24.31,24.34,24.11,23.77,23.33,22.51,21.78,21.07,20.29,19.30,17.95,16.36,14.62,12.85,11.09,10.19,9.82,9.75,9.70,9.65,9.59,9.49,9.37,9.29,9.29,9.32,9.38,9.45,9.53,9.52,9.47,9.45,9.33,9.18,9.06,8.97,8.82,8.67,8.50,8.41,8.60,8.73,8.82,8.86,8.83,8.83,8.99,9.33,9.88,10.76,12.31,13.99,15.70,17.45,19.48,22.43,26.01,29.90,33.45,36.83,39.73,42.21,44.62,47.15,49.01,49.85,49.45,47.63,44.51,40.23,35.10,30.03,24.93,21.06,18.86,18.59,18.62,18.83,19.63,21.27,23.51,25.92,27.67,28.47,28.17,27.02,25.68,24.29,23.00,22.84,22.17,20.92,19.19,17.59,16.08,14.55,13.04,11.66
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,9.28,16.73,25.93,31.85,35.54,38.38,40.23,40.28,39.10,37.29,34.89,31.88,27.83,23.90,20.88,18.98,17.96,17.11,16.35,15.66,15.05,14.41,13.81,13.58,14.08,16.34,18.60,20.60,22.26,23.60,24.50,24.92,24.96,24.79,24.65,24.08,23.38,22.64,21.83,21.11,20.30,19.31,18.05,16.64,15.10,13.44,11.74,10.29,9.92,9.81,9.73,9.65,9.56,9.47,9.38,9.27,9.23,9.28,9.35,9.41,9.45,9.47,9.38,9.25,9.17,9.02,8.86,8.73,8.63,8.50,8.35,8.15,8.00,8.12,8.27,8.37,8.42,8.42,8.42,8.51,8.84,9.41,9.91,11.30,12.97,14.78,16.64,18.57,21.34,24.77,28.60,32.17,35.68,39.02,42.12,44.85,47.61,49.71,50.93,51.07,49.47,46.31,42.01,37.03,32.34,27.68,24.13,22.14,22.08,21.47,21.14,21.73,23.55,25.75,27.87,29.35,29.89,29.13,28.17,27.00,25.72,24.47,24.17,22.69,20.62,18.41,16.79,15.27,13.67,12.06,10.57
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,15.69,24.36,31.43,35.13,38.39,41.19,42.92,42.54,40.95,38.62,35.65,32.16,28.40,25.23,22.45,20.18,19.11,18.30,17.65,17.07,16.45,15.76,15.08,14.62,14.79,17.10,19.41,21.43,23.15,24.73,25.56,25.58,25.05,24.25,23.77,23.12,22.49,21.90,21.18,20.43,19.33,17.96,16.46,15.20,13.87,12.40,10.86,10.06,9.79,9.68,9.60,9.53,9.38,9.28,9.23,9.21,9.28,9.35,9.39,9.39,9.33,9.21,9.06,8.93,8.85,8.70,8.54,8.39,8.25,8.17,8.03,7.83,7.66,7.67,7.82,7.93,7.98,7.98,7.98,7.99,8.32,8.98,9.58,10.54,12.16,14.20,16.26,18.38,21.14,24.35,27.83,31.46,35.18,38.80,42.18,45.15,48.25,50.29,51.31,51.50,50.74,48.00,43.84,38.89,34.64,31.03,29.36,29.06,28.85,26.67,25.11,25.04,26.86,28.96,30.30,31.10,31.17,29.88,28.91,27.95,26.75,25.11,23.48,21.63,19.71,17.84,16.22,14.61,12.92,11.22,9.68
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,5.34,8.05,15.37,23.12,29.73,34.44,37.80,41.17,44.09,45.80,45.05,43.23,40.64,37.35,33.49,29.86,26.87,24.31,22.20,20.87,19.82,18.97,18.25,17.59,16.89,16.23,15.67,15.56,17.64,19.91,22.34,24.53,25.74,25.28,24.74,24.13,23.41,22.79,22.21,21.61,20.98,20.33,19.24,17.90,16.42,14.92,13.64,12.39,11.22,10.22,9.81,9.65,9.53,9.42,9.35,9.23,9.20,9.21,9.26,9.29,9.26,9.20,9.12,9.04,8.90,8.74,8.60,8.48,8.37,8.23,8.07,7.93,7.85,7.71,7.53,7.36,7.24,7.37,7.48,7.53,7.53,7.53,7.56,7.95,8.69,9.27,10.01,11.78,14.24,16.61,19.06,21.99,25.15,28.37,31.80,35.52,39.14,42.51,45.52,48.79,50.79,51.70,51.90,51.48,49.71,46.35,41.72,37.34,34.31,32.66,32.05,31.86,29.82,28.37,28.15,29.42,30.94,32.04,32.53,32.19,30.55,29.42,28.43,27.22,25.44,23.71,22.07,20.48,18.89,17.19,15.34,13.44,11.54,9.75
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.44,8.27,12.36,22.81,29.63,33.98,36.94,40.36,43.88,46.86,48.48,47.54,45.50,42.62,39.05,35.03,31.54,28.59,26.20,24.35,22.93,21.82,20.74,19.69,18.74,18.01,17.36,16.74,16.41,17.98,20.25,23.17,25.75,26.08,24.46,23.50,22.94,22.42,21.77,21.26,20.68,19.99,19.35,17.96,16.42,14.86,13.38,12.10,11.02,10.22,9.73,9.58,9.49,9.37,9.25,9.19,9.13,9.15,9.20,9.23,9.22,9.10,8.94,8.80,8.71,8.57,8.42,8.27,8.12,8.04,7.91,7.75,7.61,7.51,7.38,7.23,7.04,6.78,6.92,7.03,7.08,7.08,7.08,7.16,7.61,8.40,8.99,9.61,11.51,14.32,17.14,19.93,23.02,26.14,29.18,32.44,36.08,39.61,42.90,45.92,49.30,51.24,52.05,52.25,52.00,51.10,48.55,44.32,40.14,37.58,35.64,34.38,34.09,32.46,31.40,31.20,31.91,32.86,33.78,33.98,33.21,31.36,29.99,28.87,27.62,25.89,24.34,23.00,21.71,20.32,18.40,16.33,14.28,12.24,10.21
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,7.39,12.49,21.03,28.38,33.03,36.38,39.44,42.96,46.46,49.17,50.52,49.83,47.51,44.07,40.22,36.58,33.34,30.36,28.02,26.42,25.50,24.97,23.76,22.00,20.08,19.20,18.51,17.89,17.42,17.90,20.29,23.71,26.28,24.64,22.88,22.00,21.57,21.15,20.71,20.20,19.59,18.89,18.15,16.70,15.05,13.38,11.85,10.66,10.08,9.77,9.54,9.38,9.29,9.21,9.14,9.12,9.16,9.15,9.08,8.97,8.91,8.78,8.62,8.47,8.33,8.23,8.11,7.95,7.80,7.72,7.59,7.43,7.28,7.14,7.04,6.88,6.63,6.28,6.46,6.59,6.64,6.64,6.64,6.79,7.27,8.05,8.84,9.48,11.26,14.15,17.71,20.85,23.93,26.97,30.02,33.32,36.77,40.14,43.35,46.36,49.80,51.63,52.30,52.50,52.15,51.60,49.48,45.78,43.02,40.86,38.80,37.11,36.33,34.89,34.24,34.19,34.57,35.32,35.93,35.66,34.42,32.57,30.88,29.45,28.15,26.86,25.61,24.45,23.27,21.82,19.36,17.23,15.28,13.36,11.23
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,2.27,5.21,7.95,11.97,17.73,25.41,30.86,34.79,38.07,41.29,44.67,48.04,50.73,52.17,51.59,49.06,45.52,41.83,38.70,36.12,33.58,31.29,29.41,28.19,27.76,26.86,25.26,22.96,21.21,20.00,19.16,18.60,18.65,20.56,24.04,26.59,23.36,21.48,20.66,20.33,19.97,19.55,19.01,18.39,17.70,16.90,15.43,13.81,12.19,10.73,9.94,9.64,9.50,9.35,9.23,9.15,9.11,9.08,9.01,9.02,8.95,8.82,8.67,8.56,8.44,8.30,8.15,8.00,7.91,7.79,7.63,7.48,7.37,7.25,7.11,6.96,6.80,6.71,6.55,6.29,5.94,6.04,6.14,6.19,6.19,6.22,6.44,6.94,7.72,8.57,9.28,10.88,13.62,17.61,21.17,24.54,27.74,30.84,34.09,37.30,40.46,43.56,46.50,49.78,51.56,52.27,52.54,52.15,51.63,49.96,47.15,45.11,43.24,41.34,39.62,38.53,37.61,37.28,37.26,37.38,37.66,37.75,37.20,35.90,34.05,32.39,30.91,29.58,28.35,27.19,26.07,24.77,23.07,20.38,18.24,16.34,14.45,12.25
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,1.98,4.40,7.44,11.61,17.19,23.03,27.70,31.89,35.74,39.34,42.77,45.96,49.18,51.95,53.61,53.09,50.37,46.98,43.72,41.20,39.38,37.43,35.20,32.85,31.02,30.44,29.88,28.70,26.29,23.54,21.74,20.65,20.09,20.00,21.35,24.41,26.52,22.18,20.26,19.46,19.16,18.82,18.35,17.76,17.14,16.47,15.62,14.16,12.66,11.22,9.90,9.58,9.43,9.31,9.17,9.10,9.02,9.01,9.02,8.87,8.78,8.65,8.50,8.35,8.19,8.10,7.98,7.83,7.68,7.58,7.46,7.31,7.16,7.00,6.90,6.79,6.64,6.49,6.39,6.24,5.99,5.68,5.65,5.69,5.74,5.75,5.82,6.09,6.62,7.41,8.26,9.04,10.39,12.87,17.11,21.09,24.87,28.37,31.56,34.68,37.63,40.56,43.50,46.34,49.38,51.17,52.02,52.39,52.01,51.34,50.04,48.18,46.58,45.03,43.40,41.84,40.62,40.31,40.21,40.16,40.05,39.80,39.38,38.65,37.50,35.70,34.21,32.79,31.42,30.11,28.94,27.77,26.27,24.26,21.56,19.40,17.50,15.62,13.43
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.75,7.49,11.32,16.96,21.92,25.77,28.46,32.20,36.00,39.86,43.69,47.14,50.18,52.92,54.73,54.36,51.45,48.60,46.24,44.61,43.09,41.27,39.07,36.61,34.44,33.38,32.24,30.58,28.08,25.58,24.06,23.33,23.14,22.95,24.82,25.62,24.49,21.24,19.75,18.78,18.16,17.73,17.16,16.55,15.90,15.20,14.35,12.93,11.74,10.78,9.90,9.53,9.29,9.12,8.98,8.96,8.89,8.81,8.70,8.55,8.41,8.30,8.18,8.03,7.87,7.78,7.67,7.51,7.36,7.22,7.11,6.99,6.84,6.68,6.58,6.48,6.32,6.17,6.08,5.92,5.68,5.43,5.25,5.24,5.31,5.37,5.39,5.72,6.30,7.09,7.94,8.72,9.67,11.64,15.84,20.11,24.32,28.23,31.65,34.37,37.08,39.72,42.33,45.07,47.78,49.86,51.18,51.69,51.36,50.29,48.77,47.16,46.29,45.35,44.00,42.69,42.21,41.95,41.80,41.63,41.38,41.04,40.55,39.95,39.12,37.71,36.25,34.83,33.45,32.08,30.81,29.54,27.91,25.82,23.71,21.21,19.15,17.45,15.66
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.28,7.71,11.71,17.05,22.92,27.09,29.69,31.37,34.39,37.62,41.17,45.00,48.58,51.55,54.39,56.48,56.45,53.77,51.41,49.49,47.94,46.27,44.37,42.18,39.74,37.31,35.52,33.69,31.63,29.23,27.45,26.27,25.81,25.98,26.00,26.90,26.11,23.70,21.14,19.92,18.88,18.01,17.32,16.62,15.94,15.23,14.45,13.54,12.34,11.39,10.65,9.93,9.49,9.16,8.93,8.78,8.73,8.63,8.52,8.38,8.23,8.07,7.97,7.86,7.71,7.56,7.44,7.32,7.19,7.04,6.88,6.77,6.67,6.52,6.37,6.27,6.16,6.00,5.85,5.73,5.56,5.34,5.17,4.83,4.78,4.88,4.95,4.95,5.34,5.98,6.77,7.62,8.25,8.87,10.48,14.49,18.86,23.39,27.70,31.42,33.89,36.30,38.63,40.94,43.45,45.87,47.90,49.33,49.98,49.61,48.46,47.10,45.88,45.09,44.45,43.53,42.68,42.58,42.43,42.30,42.19,42.09,41.90,41.56,41.10,40.44,39.37,38.19,36.87,35.48,34.10,32.78,31.55,30.04,28.17,26.40,24.12,22.18,20.63,19.25
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,5.94,10.79,16.79,24.20,29.37,32.61,34.53,35.94,38.03,40.28,43.11,46.61,50.24,53.21,56.24,58.71,59.18,57.04,55.16,53.31,51.22,49.06,46.90,44.70,42.38,39.76,37.06,34.45,32.03,29.89,29.19,28.38,28.13,28.66,29.12,27.90,26.02,23.86,21.70,20.64,19.58,18.50,17.44,16.59,15.80,14.99,14.11,13.11,12.24,11.48,10.76,9.99,9.45,9.02,8.74,8.58,8.43,8.27,8.16,8.06,7.91,7.75,7.65,7.55,7.39,7.24,7.08,6.96,6.87,6.72,6.56,6.46,6.35,6.20,6.05,5.95,5.84,5.68,5.53,5.37,5.18,4.98,4.91,4.39,4.30,4.43,4.50,4.50,4.97,5.66,6.45,7.30,7.67,8.03,9.38,13.09,17.41,22.17,26.86,30.96,33.28,35.34,37.35,39.40,41.56,43.72,45.44,46.70,47.48,47.02,46.03,45.12,44.40,43.16,42.60,42.22,42.00,42.00,42.00,41.95,42.02,42.32,42.47,42.44,42.12,41.53,40.75,40.05,38.92,37.53,36.14,34.83,33.74,32.56,31.13,29.51,27.89,26.27,24.83,23.91
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.54,5.00,5.26,5.30,4.47,e,e,e,e,e,4.70,6.63,10.58,15.66,21.59,28.47,33.01,36.21,38.49,40.29,42.87,45.47,48.05,50.60,53.20,55.98,58.74,60.93,61.59,60.03,58.09,55.96,53.77,51.56,49.27,46.90,44.19,40.33,37.95,35.99,34.20,32.50,31.70,30.55,29.66,29.36,29.33,28.11,26.44,24.51,22.40,21.29,20.26,19.19,18.08,17.23,16.44,15.65,14.77,13.57,12.55,11.65,10.83,10.06,9.52,9.12,8.80,8.49,8.14,7.95,7.84,7.74,7.59,7.44,7.30,7.18,7.07,6.92,6.76,6.64,6.55,6.40,6.24,6.14,6.04,5.88,5.73,5.59,5.47,5.36,5.21,5.05,4.86,4.66,4.59,4.07,3.95,4.03,4.05,4.05,4.60,5.34,6.10,6.81,6.43,6.69,8.13,11.05,15.51,20.28,25.07,29.46,32.02,34.09,35.77,37.32,39.34,41.21,42.76,43.89,44.49,44.12,43.42,42.70,42.04,41.20,40.56,40.12,39.87,39.77,39.87,40.25,40.71,41.05,41.31,41.53,41.66,41.69,41.66,40.97,40.15,39.27,38.32,37.20,36.17,35.01,33.70,32.57,31.66,31.00,30.40,29.52
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.55,6.06,6.87,7.16,7.99,8.65,8.80,8.43,8.31,7.72,7.10,7.56,7.02,6.95,7.78,9.72,11.88,15.93,20.75,26.01,31.92,36.15,39.40,41.97,44.23,47.06,49.78,52.19,54.27,56.34,58.92,61.48,63.49,64.13,62.89,60.89,58.58,56.32,54.06,51.65,49.02,45.92,41.62,39.47,37.86,36.47,35.14,34.27,32.84,31.31,30.05,29.47,28.21,26.69,25.00,23.09,21.95,20.90,19.83,18.72,17.89,17.10,16.29,15.35,14.06,12.92,11.88,10.96,10.12,9.58,9.24,8.91,8.50,8.03,7.77,7.57,7.40,7.27,7.12,6.96,6.83,6.75,6.60,6.44,6.33,6.23,6.08,5.93,5.80,5.70,5.56,5.41,5.25,5.13,5.04,4.89,4.74,4.54,4.34,4.27,3.77,3.58,3.59,3.61,3.65,4.25,5.02,5.73,6.14,5.06,5.27,6.86,9.23,13.39,18.04,22.79,27.23,30.23,32.34,33.84,35.08,36.72,38.25,39.51,40.43,40.97,40.70,40.19,39.57,38.94,38.32,37.73,37.30,37.04,36.91,37.08,37.66,38.26,38.63,39.21,39.96,40.71,41.35,41.76,41.41,41.05,40.62,39.98,39.14,38.32,37.43,36.50,35.88,35.56,35.50,35.38,34.72
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,7.31,9.51,11.69,13.02,13.86,14.18,13.93,12.87,12.36,12.41,12.84,13.31,13.39,13.42,14.01,15.64,18.34,22.19,26.10,29.91,34.29,38.66,42.05,44.82,47.61,50.40,52.92,55.26,57.48,59.70,62.10,64.55,66.47,66.82,65.57,63.54,61.18,58.87,56.56,54.02,51.03,47.57,43.86,41.81,40.20,38.86,37.82,36.90,35.27,33.10,30.73,29.51,28.14,26.74,25.29,23.77,22.60,21.50,20.42,19.36,18.58,17.80,16.90,15.81,14.56,13.34,12.21,11.17,10.19,9.65,9.37,9.08,8.62,8.16,7.78,7.38,7.03,6.95,6.80,6.64,6.52,6.43,6.28,6.12,6.01,5.92,5.76,5.61,5.46,5.33,5.24,5.09,4.93,4.81,4.72,4.57,4.42,4.22,4.03,3.95,3.50,3.20,3.09,3.17,3.31,3.93,4.70,5.33,5.24,3.54,3.75,5.58,7.70,10.98,15.32,19.89,24.05,27.74,29.94,31.47,32.63,33.57,34.69,35.49,36.12,36.76,36.59,36.14,35.53,34.85,34.23,33.85,33.53,33.29,33.20,33.42,33.89,34.33,34.67,35.90,37.53,39.11,40.34,40.80,41.23,41.49,41.43,40.95,40.51,40.13,39.81,39.58,39.51,39.65,39.69,39.59,39.37
e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,4.66,6.67,11.14,16.61,21.15,22.76,23.63,22.90,21.64,20.29,18.24,17.72,17.84,18.29,18.88,19.05,19.73,20.86,22.40,25.13,27.76,30.38,33.11,36.25,40.31,43.75,46.73,49.67,52.71,55.50,58.23,61.05,63.97,66.37,68.14,69.14,69.24,68.22,66.33,63.97,61.53,59.08,56.13,52.82,49.37,46.21,44.50,43.07,41.84,40.83,39.47,37.49,34.98,32.18,29.89,28.39,27.04,25.78,24.78,23.63,22.50,21.37,20.26,19.32,18.51,17.52,16.30,15.02,13.74,12.58,11.51,10.47,9.84,9.52,9.23,8.81,8.34,7.91,7.48,7.10,6.80,6.52,6.32,6.20,6.11,5.96,5.81,5.67,5.55,5.44,5.29,5.13,5.00,4.92,4.77,4.61,4.47,4.36,4.24,4.10,3.90,3.70,3.58,3.25,2.87,2.64,2.73,2.97,3.61,4.21,4.50,4.35,e,e,3.94,6.11,8.85,12.31,15.89,19.16,22.00,23.97,25.48,26.73,27.88,28.73,29.23,29.60,30.02,29.99,29.90,29.81,29.76,29.74,29.43,29.10,28.76,28.34,28.53,28.84,29.22,29.72,30.99,32.59,34.42,36.32,37.93,39.70,40.69,41.01,40.93,40.89,40.71,40.50,40.39,40.78,40.99,40.91,40.62,40.34
