8.56,8.20,7.31,6.22,5.27,4.95,4.84,4.75,4.67,4.59,4.51,4.43,4.32,4.17,4.10,3.96,3.84,3.76,3.69,3.75,3.78,3.80,3.88,3.95,3.97,4.01,4.07,4.08,4.14,4.18,4.20,4.27,4.35,4.43,4.45,4.38,4.30,4.28,4.24,4.16,4.09,4.07,4.03,3.96,3.88,3.88,3.93,3.97,3.98,3.97,3.97,3.93,3.88,3.87,4.01,4.16,4.27,4.34,5.94,7.61,8.78,9.23,9.19,9.32,9.43,9.53,9.69,9.61,9.59,9.56,9.50,9.56,9.71,9.90,10.16,10.54,10.91,11.38,12.56,15.01,17.14,18.81,20.99,24.09,27.53,30.59,33.40,36.04,38.68,44.27,50.47,56.49,61.78,66.81,68.94,68.96,67.07,63.14,60.30,60.14,62.08,65.07,67.89,68.90,68.78,67.70,64.54,62.06,59.62,57.03,54.18,51.33,49.14,47.24,45.28,43.25,40.97,38.22,35.66,35.46,36.56,37.79,39.08,40.44,40.93,40.86,40.49,40.31,41.90,44.36,46.63,48.20,48.58,48.28,47.96,47.81,47.96,48.58,49.44,51.05,53.56,56.87,61.34,66.25,71.55,77.18,80.79,83.29,84.84,85.61,85.82,85.83,85.62,85.31,85.10,85.84,88.09,91.34,95.03,98.74,102.45,105.75,108.58,111.40,117.07,120.86,122.33,121.87,121.04,122.03,124.48,128.03,132.04,136.48,139.10,139.86,139.99,134.64,127.72,120.34,113.47,108.14,104.08,101.53,101.02,104.23,109.09,113.23,114.81,111.89,107.74,103.77,99.84,95.70,90.54,85.83,81.66,77.90,74.19,70.05,65.08,59.96,55.41,51.47,46.34,38.86,30.33,27.63,25.45,23.35,21.35,19.60,18.74,17.94,17.15,16.37,15.60,14.94,14.34,13.80,13.33,12.87,12.40,12.00,11.70,11.47,11.18,10.92,10.69,10.46,10.25,10.03,9.85,9.77,9.69,9.56,9.44,9.35,9.20,9.10,9.03,8.93,8.78,8.70,8.57,8.44,8.36,8.21,8.11,8.00,7.85,7.78,7.63,7.48,7.35,7.27
9.32,8.45,7.26,6.04,5.07,4.88,4.82,4.76,4.68,4.60,4.53,4.45,4.37,4.30,4.22,4.12,4.00,3.90,3.86,3.89,3.93,3.97,4.01,4.08,4.11,4.14,4.21,4.21,4.27,4.31,4.32,4.40,4.48,4.56,4.58,4.50,4.47,4.43,4.37,4.30,4.26,4.22,4.16,4.10,4.06,4.06,4.08,4.12,4.16,4.16,4.13,4.09,4.06,4.06,4.20,4.36,4.50,4.69,6.31,7.99,9.29,10.16,11.26,12.36,13.29,14.08,14.85,15.07,14.63,13.53,11.93,10.99,10.80,10.94,11.21,11.47,11.77,12.28,13.39,15.48,17.16,18.62,20.63,23.52,27.03,30.22,33.09,35.75,38.37,43.78,50.30,56.95,62.94,68.36,70.92,71.39,70.18,67.63,66.05,66.60,68.49,70.58,72.50,72.84,72.07,70.31,66.79,63.51,60.56,57.86,55.21,52.52,50.37,48.42,46.34,44.01,41.57,38.95,36.84,37.34,38.58,40.02,41.49,42.81,43.11,43.09,43.35,44.27,45.93,48.67,50.90,52.05,51.79,50.99,50.26,49.87,49.98,50.48,51.19,52.32,54.03,56.50,59.82,64.09,69.05,74.36,79.40,82.48,84.51,86.13,87.50,88.47,88.71,88.30,87.55,87.14,88.24,90.62,94.00,98.90,103.53,107.73,111.42,114.50,118.93,122.34,124.44,125.34,125.17,125.94,128.15,131.91,136.16,138.74,139.95,140.17,140.01,134.57,127.65,120.49,114.24,110.49,108.03,106.65,106.81,110.33,114.88,117.26,116.63,112.65,108.41,104.50,100.62,96.50,91.58,86.20,81.71,77.87,73.35,68.39,63.31,58.45,54.11,50.05,45.58,39.23,31.69,27.96,25.68,23.59,21.58,19.77,18.95,18.17,17.41,16.69,16.00,15.40,14.86,14.37,13.91,13.44,12.98,12.54,12.16,11.93,11.67,11.42,11.18,10.95,10.72,10.46,10.22,10.07,9.91,9.75,9.63,9.54,9.39,9.30,9.22,9.12,8.97,8.89,8.76,8.63,8.55,8.40,8.30,8.19,8.05,7.97,7.82,7.67,7.53,7.41
9.64,8.38,7.07,5.86,4.91,4.83,4.81,4.76,4.68,4.60,4.53,4.45,4.40,4.40,4.32,4.24,4.14,4.03,4.02,4.03,4.08,4.13,4.13,4.21,4.23,4.26,4.33,4.35,4.40,4.44,4.46,4.53,4.61,4.68,4.71,4.63,4.63,4.57,4.50,4.45,4.43,4.37,4.29,4.23,4.23,4.23,4.24,4.28,4.33,4.33,4.28,4.25,4.25,4.25,4.38,4.53,4.75,5.14,6.87,8.85,10.70,12.35,14.46,16.42,18.13,19.57,20.74,20.80,19.66,17.44,14.51,12.75,12.16,12.12,12.33,12.49,12.69,13.14,14.10,15.80,17.13,18.51,20.44,23.15,26.59,29.81,32.73,35.42,38.07,43.05,49.76,56.89,63.35,68.86,71.89,73.10,72.94,72.01,71.82,72.94,74.49,75.40,76.15,75.62,74.06,71.60,68.01,64.07,60.74,58.05,55.66,53.26,51.26,49.33,47.20,44.65,42.07,39.70,38.21,39.33,40.76,42.43,44.02,45.18,45.33,45.37,46.15,47.98,50.09,53.08,55.11,55.72,54.89,53.72,52.65,52.04,52.15,52.59,53.19,54.00,55.11,56.72,58.95,62.49,66.94,71.65,77.57,81.13,83.61,85.86,88.15,90.18,91.25,91.26,90.37,89.08,88.94,90.19,93.01,98.55,103.97,108.97,113.33,116.77,120.16,123.43,126.31,128.47,128.98,129.80,131.94,135.71,139.41,140.11,140.21,140.25,140.03,134.95,128.49,121.85,116.19,114.01,113.01,112.69,113.29,116.42,119.74,119.95,117.21,112.57,108.49,104.75,101.01,97.00,92.55,87.15,82.68,78.88,73.97,68.19,62.80,57.93,53.55,49.24,45.41,40.16,33.48,28.41,25.97,23.90,21.90,20.06,19.22,18.44,17.72,17.05,16.44,15.90,15.41,14.94,14.46,14.00,13.54,13.07,12.62,12.39,12.16,11.93,11.69,11.45,11.21,10.95,10.67,10.44,10.20,10.01,9.85,9.73,9.58,9.49,9.41,9.32,9.16,9.08,8.95,8.82,8.74,8.59,8.49,8.38,8.24,8.15,8.01,7.86,7.71,7.55
9.07,8.01,6.93,5.88,4.97,4.89,4.83,4.76,4.68,4.60,4.53,4.45,4.40,4.40,4.32,4.24,4.19,4.15,4.09,4.14,4.21,4.26,4.26,4.34,4.36,4.39,4.47,4.53,4.55,4.59,4.64,4.66,4.73,4.81,4.83,4.76,4.76,4.70,4.65,4.63,4.57,4.49,4.42,4.36,4.36,4.36,4.40,4.45,4.46,4.46,4.45,4.44,4.44,4.44,4.53,4.66,5.01,5.80,7.92,11.08,14.55,17.80,20.01,21.98,23.85,25.36,25.99,24.44,22.04,19.20,16.40,15.04,14.00,13.50,13.48,13.64,13.75,13.91,14.53,15.99,17.37,18.80,20.80,23.53,26.52,29.52,32.35,35.06,37.81,41.98,48.62,55.91,62.31,67.62,71.12,73.62,75.23,75.48,76.35,77.70,78.88,79.15,79.21,77.44,74.65,71.33,67.59,63.41,60.11,57.68,55.58,53.48,51.68,49.83,47.64,45.10,42.63,40.80,40.15,41.71,43.46,45.27,46.74,47.42,47.51,47.58,48.13,49.71,53.69,57.43,59.27,59.17,57.85,56.28,55.05,54.41,54.50,54.84,55.27,55.96,56.90,57.87,59.41,62.20,65.81,69.53,74.76,79.06,82.27,84.50,86.70,89.62,92.31,93.91,93.17,91.60,90.39,90.47,92.66,97.81,104.25,109.87,114.00,117.29,120.89,124.67,128.23,131.03,132.63,134.01,136.10,139.01,140.00,140.28,140.32,140.26,140.09,136.93,132.26,126.77,121.35,120.01,119.59,119.60,119.97,121.18,121.43,119.60,115.99,111.36,107.63,104.05,100.37,96.38,92.02,87.98,84.30,80.85,77.28,71.44,65.49,59.92,55.05,50.20,46.76,42.05,35.42,28.96,26.35,24.34,22.42,20.63,19.55,18.77,18.13,17.50,16.95,16.45,15.98,15.50,14.98,14.51,14.05,13.58,13.13,12.90,12.67,12.44,12.19,11.90,11.66,11.42,11.18,10.95,10.71,10.45,10.18,9.93,9.77,9.68,9.60,9.51,9.35,9.27,9.14,9.02,8.93,8.78,8.68,8.57,8.42,8.28,8.18,8.05,7.90,7.74
8.81,7.94,7.07,6.21,5.40,5.05,4.90,4.80,4.73,4.65,4.57,4.49,4.43,4.40,4.35,4.29,4.24,4.23,4.15,4.21,4.27,4.31,4.34,4.42,4.47,4.51,4.55,4.63,4.67,4.71,4.75,4.79,4.99,5.40,5.72,5.63,5.43,5.06,4.82,4.78,4.70,4.62,4.54,4.50,4.53,4.53,4.56,4.60,4.63,4.63,4.63,4.62,4.60,4.63,4.86,5.27,5.94,7.04,9.69,13.67,17.75,21.24,23.79,26.19,28.29,29.50,28.94,26.41,23.55,20.67,18.08,16.85,15.67,14.92,14.65,14.66,14.70,14.77,15.21,16.41,17.76,19.18,21.16,23.85,26.60,29.42,32.15,34.76,37.34,40.51,46.78,53.99,60.32,65.71,69.85,73.12,75.60,77.17,78.69,79.90,80.62,80.68,80.22,77.92,74.65,71.00,67.35,63.06,59.80,57.67,56.21,54.98,53.00,50.63,48.22,46.08,44.01,42.48,42.08,44.02,46.03,47.87,49.22,49.81,50.67,50.96,51.89,54.14,57.78,60.76,62.02,61.62,60.22,58.69,57.46,56.79,56.82,57.13,57.50,58.05,58.79,59.59,60.80,62.83,65.40,68.07,71.99,76.41,80.26,83.07,85.54,88.81,92.30,95.16,96.04,94.66,93.13,92.32,93.05,97.56,103.52,109.29,114.10,117.48,121.16,125.16,129.12,132.53,135.19,137.01,138.62,140.19,140.31,140.43,140.43,140.31,140.15,138.65,135.38,131.03,126.60,125.31,124.62,123.89,122.99,122.37,120.85,118.06,114.24,109.88,106.18,102.40,98.30,93.93,90.35,87.40,84.59,81.80,78.98,73.95,68.68,63.41,58.27,53.31,49.47,44.39,37.34,29.47,26.75,24.84,23.05,21.34,19.97,19.16,18.57,18.00,17.49,16.99,16.51,16.04,15.53,15.07,14.60,14.14,13.69,13.42,13.15,12.90,12.66,12.39,12.15,11.92,11.69,11.46,11.19,10.92,10.63,10.33,10.11,9.95,9.82,9.70,9.54,9.46,9.34,9.21,9.13,8.97,8.88,8.76,8.61,8.45,8.37,8.24,8.09,7.94
8.66,7.96,7.27,6.58,5.89,5.22,4.97,4.86,4.78,4.70,4.63,4.55,4.48,4.41,4.40,4.35,4.31,4.29,4.22,4.27,4.30,4.33,4.41,4.49,4.56,4.60,4.62,4.69,4.77,4.80,4.85,5.03,5.54,6.41,7.07,6.98,6.50,5.74,5.20,5.02,4.84,4.75,4.68,4.64,4.72,4.72,4.73,4.78,4.87,4.87,4.85,4.80,4.78,4.93,5.41,6.18,7.22,8.56,11.70,16.22,20.40,23.58,26.52,29.50,31.88,32.82,31.18,27.81,24.81,22.12,19.74,18.39,17.20,16.33,15.83,15.69,15.67,15.70,16.02,16.90,18.19,19.52,21.46,24.11,26.75,29.45,32.05,34.52,36.82,39.04,44.73,51.65,57.88,63.48,68.24,72.00,74.95,77.74,79.80,80.81,81.11,81.15,80.31,77.77,74.34,70.59,67.18,62.89,59.77,58.05,57.34,57.09,54.86,51.80,49.05,47.38,45.75,44.39,43.97,46.21,48.43,50.24,51.51,52.22,54.04,54.70,56.25,59.39,61.82,63.55,64.14,63.63,62.34,61.09,59.96,59.26,59.20,59.44,59.80,60.21,60.74,61.59,62.63,63.98,65.56,67.26,69.77,73.89,78.13,81.63,84.55,87.94,91.86,95.82,98.77,97.85,96.41,94.88,93.89,97.56,102.38,108.06,113.79,117.42,121.18,125.29,129.49,133.43,136.99,139.17,140.22,140.44,140.52,140.57,140.51,140.35,140.19,139.94,137.72,134.43,131.21,129.58,128.18,126.29,123.88,121.73,119.15,115.97,112.27,108.27,104.48,100.28,95.61,90.81,88.22,86.11,84.11,82.01,79.58,75.77,71.71,67.20,62.01,57.30,52.99,47.22,39.34,29.99,27.19,25.41,23.74,22.12,20.51,19.60,19.03,18.51,18.05,17.53,17.03,16.57,16.10,15.64,15.18,14.71,14.26,13.94,13.63,13.36,13.13,12.90,12.66,12.43,12.20,11.96,11.66,11.40,11.14,10.83,10.52,10.28,10.08,9.91,9.75,9.66,9.53,9.40,9.32,9.16,9.07,8.95,8.80,8.65,8.55,8.43,8.28,8.13
8.34,7.64,6.99,6.32,5.65,5.18,4.97,4.86,4.78,4.70,4.63,4.59,4.54,4.47,4.41,4.38,4.35,4.30,4.27,4.29,4.33,4.39,4.47,4.55,4.59,4.62,4.68,4.76,4.79,4.83,5.10,6.06,7.74,8.87,9.39,9.34,8.76,7.94,7.03,6.10,5.07,4.88,4.83,4.82,4.84,4.90,4.99,5.16,5.38,5.44,5.22,5.11,5.29,5.98,6.77,7.65,8.75,10.28,13.17,17.40,21.36,24.42,27.41,30.69,33.59,35.46,35.50,30.30,26.96,24.43,21.83,19.59,18.22,17.42,17.07,17.08,16.98,16.88,16.93,17.27,18.36,19.43,21.29,24.13,26.93,29.64,32.13,34.43,36.63,38.65,43.34,49.30,55.29,61.13,65.90,69.86,73.18,76.01,79.07,80.58,80.96,80.96,80.22,77.38,73.63,69.83,66.91,62.99,60.71,60.03,59.82,59.53,57.55,54.55,51.32,49.25,47.58,46.20,45.70,47.94,49.93,51.70,53.20,54.39,55.91,57.39,59.40,62.03,64.16,65.72,66.19,65.67,64.63,63.87,62.97,62.29,62.10,61.85,62.10,62.44,62.84,63.69,64.60,65.86,67.37,68.91,71.18,74.02,77.15,80.42,83.89,87.37,91.80,96.64,100.34,100.44,99.34,97.50,95.57,97.71,101.62,106.79,112.44,116.66,120.97,125.26,129.43,133.36,137.03,139.27,140.36,140.63,140.77,140.62,140.42,140.22,140.06,139.07,136.86,134.05,131.30,129.03,126.37,123.72,121.28,119.22,116.66,113.77,110.45,106.54,102.70,97.87,92.90,88.61,86.38,84.33,82.35,80.23,77.55,75.11,72.16,68.53,64.25,60.78,58.08,52.07,41.83,30.66,27.85,26.20,24.58,23.02,21.45,20.25,19.46,19.02,18.56,18.08,17.61,17.14,16.68,16.22,15.75,15.29,14.83,14.41,14.11,13.87,13.64,13.41,13.17,12.94,12.70,12.41,12.15,11.92,11.65,11.34,11.04,10.79,10.54,10.27,10.01,9.87,9.72,9.59,9.51,9.36,9.26,9.15,8.99,8.84,8.70,8.59,8.47,8.32
8.05,7.36,6.70,6.08,5.53,5.22,5.02,4.89,4.82,4.74,4.66,4.62,4.58,4.53,4.45,4.41,4.38,4.34,4.34,4.34,4.38,4.45,4.50,4.58,4.62,4.67,4.74,4.79,4.82,4.86,5.32,7.13,9.24,10.72,11.48,11.55,10.88,10.07,9.06,7.81,6.37,5.95,5.62,5.37,5.40,5.51,5.65,5.89,6.22,6.33,6.08,5.99,6.27,7.09,8.01,8.93,10.05,11.60,14.47,18.29,21.88,24.81,27.74,31.26,34.89,37.77,38.71,34.61,30.75,27.28,24.20,21.43,19.51,18.52,18.31,18.44,18.31,18.11,18.02,18.25,18.98,19.79,21.54,24.40,27.28,29.89,32.16,34.21,36.26,38.20,42.01,47.00,52.48,58.24,63.11,67.44,71.27,74.41,77.52,79.48,80.42,80.67,80.08,76.98,72.99,69.21,66.51,63.77,62.54,62.54,62.62,62.16,59.90,56.78,53.74,51.38,49.50,47.98,47.36,49.30,51.16,52.93,54.59,56.09,57.59,59.60,61.96,64.45,66.54,68.28,69.06,68.85,67.86,66.99,66.10,65.38,64.98,64.49,64.53,64.73,65.03,65.71,66.59,67.89,69.58,71.58,73.71,75.72,77.86,80.37,83.57,86.89,91.38,96.55,100.93,102.45,101.96,100.15,97.92,98.33,101.37,105.96,111.26,115.91,120.48,124.87,129.05,133.01,136.69,139.13,140.41,140.72,140.91,140.63,140.32,139.88,138.83,137.25,135.03,132.57,130.26,127.71,124.44,121.34,118.77,116.76,114.28,111.68,108.84,105.50,101.75,96.47,91.20,87.06,84.56,82.33,79.75,77.02,74.94,73.32,71.02,68.15,64.97,62.42,60.37,54.86,44.60,31.32,28.33,26.73,25.14,23.62,22.13,20.80,19.84,19.32,18.89,18.43,17.97,17.51,17.07,16.61,16.15,15.69,15.26,14.88,14.61,14.38,14.15,13.92,13.66,13.42,13.17,12.89,12.66,12.41,12.14,11.86,11.55,11.30,11.03,10.72,10.41,10.19,10.00,9.83,9.70,9.55,9.43,9.31,9.18,9.03,8.87,8.76,8.67,8.51
7.80,7.10,6.41,5.84,5.48,5.33,5.11,4.96,4.88,4.80,4.73,4.65,4.60,4.60,4.52,4.44,4.40,4.40,4.40,4.40,4.45,4.50,4.50,4.58,4.65,4.73,4.80,4.80,4.86,4.90,5.52,8.22,10.20,12.08,13.40,13.65,12.88,12.17,11.26,10.03,8.49,7.75,6.91,6.22,6.30,6.45,6.60,6.88,7.31,7.47,7.31,7.32,7.63,8.25,9.16,10.08,11.17,12.63,15.65,18.95,22.07,24.85,27.63,31.35,35.87,39.84,41.07,40.32,35.82,30.57,26.79,23.78,21.02,19.62,19.55,19.78,19.65,19.35,19.25,19.70,19.94,20.51,22.11,24.85,27.79,30.19,32.16,33.90,35.76,37.69,40.73,44.73,49.51,54.92,59.96,64.78,69.27,72.90,75.33,77.69,79.55,80.29,79.90,76.56,72.39,68.70,66.00,65.07,65.05,65.45,65.68,64.94,61.98,58.61,56.27,53.72,51.48,49.74,48.98,50.37,52.18,53.99,55.74,57.44,59.13,61.45,64.07,66.71,68.95,71.12,72.56,72.91,71.83,70.38,69.32,68.53,67.85,67.31,67.07,67.07,67.27,67.66,68.60,70.02,72.11,75.02,77.11,78.64,79.89,81.21,83.53,86.49,90.68,95.76,100.77,104.02,104.33,102.83,100.79,99.32,101.52,105.47,110.23,115.17,119.77,124.19,128.42,132.44,136.07,138.81,140.36,140.73,140.96,140.61,140.23,139.37,136.74,134.70,132.44,130.24,128.34,125.79,122.41,119.11,116.35,114.34,111.99,109.68,107.39,104.99,101.44,95.86,90.28,86.02,82.78,80.17,76.51,72.71,71.86,70.65,68.66,66.43,64.50,62.64,60.49,56.04,47.58,31.99,28.67,27.05,25.47,24.01,22.61,21.28,20.19,19.46,19.07,18.62,18.16,17.71,17.32,16.87,16.40,15.97,15.59,15.36,15.12,14.89,14.66,14.43,14.13,13.86,13.63,13.40,13.17,12.88,12.61,12.37,12.06,11.81,11.54,11.23,10.92,10.61,10.35,10.12,9.89,9.74,9.58,9.46,9.37,9.22,9.07,8.96,8.86,8.70
7.48,6.78,6.23,5.82,5.54,5.34,5.15,5.00,4.88,4.80,4.77,4.71,4.65,4.60,4.57,4.50,4.44,4.41,4.46,4.46,4.51,4.56,4.56,4.64,4.68,4.73,4.81,4.85,4.89,5.18,6.05,8.02,10.00,12.02,13.97,15.61,15.52,15.20,14.26,12.67,10.88,9.38,8.16,7.38,7.26,7.36,7.53,7.86,8.35,8.60,8.58,8.66,8.96,9.53,10.30,11.14,12.24,13.81,15.98,18.89,21.88,24.63,27.21,30.52,35.25,39.95,42.02,41.29,38.96,35.12,30.19,26.74,23.73,21.68,20.75,20.93,20.71,20.68,21.04,21.88,22.31,22.53,23.35,25.16,28.05,30.32,32.25,34.00,35.76,37.59,39.93,43.10,47.21,51.29,55.87,60.65,65.43,69.95,72.86,75.18,77.05,78.50,77.97,75.31,71.98,69.02,67.65,67.25,67.58,68.25,68.68,67.90,64.12,60.17,58.26,56.50,54.49,52.61,51.36,51.91,53.20,54.85,56.63,58.34,60.48,63.10,65.90,68.87,72.88,75.95,77.83,78.48,77.99,76.37,74.73,73.18,71.84,71.01,70.36,69.99,69.94,70.28,71.44,73.23,75.61,78.53,80.12,81.26,82.15,82.99,84.38,86.82,90.48,95.09,100.01,103.40,105.68,106.29,104.93,103.36,104.00,106.65,110.80,115.05,119.23,123.81,128.41,132.37,135.60,138.49,140.30,140.81,141.14,140.76,139.62,137.29,132.94,130.91,129.10,127.47,126.02,124.11,121.56,118.68,115.69,112.95,110.21,107.85,105.73,103.53,100.66,96.19,91.22,86.59,82.86,78.38,72.97,67.75,65.32,64.39,63.65,62.90,61.93,59.68,58.26,55.40,48.98,34.75,29.79,27.39,25.95,24.58,23.19,21.82,20.60,19.65,19.26,18.81,18.35,17.89,17.46,17.04,16.69,16.38,16.10,15.87,15.63,15.38,15.11,14.88,14.62,14.38,14.14,13.91,13.63,13.37,13.12,12.88,12.57,12.32,12.05,11.74,11.43,11.12,10.86,10.61,10.33,10.08,9.87,9.70,9.57,9.47,9.32,9.18,9.05,8.89
